"","AG","BG","BX","CBH","LAP","NAG","PHOS","SUL"
"A_d3_T15_1","  0.000000"," 43.946444"," 21.799436","  0.000000","  2.808733","  0.000000","139.425324","  1.943112"
"A_d3_T15_2","  0.0000000"," 58.5630828"," 21.1755209","  7.5538603","  0.9873938","  0.0000000","146.7611404","  1.8395785"
"A_d3_T15_3","  0.000000"," 56.583126"," 22.998087","  2.483855","  6.126390","  0.000000","131.724943","  1.662299"
"A_d3_T15_4","  0.0000000"," 75.7559960"," 18.2194042","  8.1788801","  1.5475238","  0.0000000","145.0241951","  0.3129836"
"A_d3_T15_5","  0.000000"," 70.354723"," 24.840850","  0.000000","  0.000000","  0.000000","115.950709","  1.155115"
"A_d3_T1_1"," 55.674130"," 58.448177"," 29.942938"," 13.603794"," 22.938308"," 25.234961","227.677762","  6.772664"
"A_d3_T1_2"," 46.716343"," 67.568623"," 33.063197","  9.402267"," 30.106814"," 27.263316","229.919273","  7.808330"
"A_d3_T1_3"," 33.033739"," 66.549608"," 36.820140"," 16.458689"," 26.950575"," 32.427568","242.733986","  7.301919"
"A_d3_T1_4"," 64.603461"," 63.144220"," 37.313082"," 22.311074"," 20.367702"," 28.017611","198.722072","  7.126577"
"A_d3_T1_5"," 87.032801"," 64.580948"," 14.527572","  8.166586"," 15.328884"," 19.370138","178.406059","  5.784856"
"A_d3_T30_1","  6.433605"," 42.421126","  3.155012","  0.000000"," 31.293764","  0.000000","130.552033","  3.578410"
"A_d3_T30_2"," 47.464454"," 48.375468","  0.000000","  0.000000"," 40.728252","  0.000000","126.485519","  4.627276"
"A_d3_T30_3","  0.000000"," 49.645320","  0.000000","  0.000000"," 22.728972","  0.000000","115.608214","  3.434491"
"A_d3_T30_4"," 21.892894"," 46.193479","  0.000000","  0.000000"," 28.445130","  0.000000","128.577775","  3.851653"
"A_d3_T30_5"," 15.332713"," 47.810625","  0.000000","  0.000000"," 29.885347","  0.000000","108.317061","  2.499432"
"A_d3_T5_1"," 63.044858"," 76.374462"," 43.203579"," 25.180898"," 38.522321"," 36.712141","222.005504","  7.744103"
"A_d3_T5_2"," 86.990233"," 49.301942"," 36.760831"," 35.938087"," 43.742561"," 24.852299","199.154043","  7.843691"
"A_d3_T5_3"," 78.690074"," 46.678933"," 22.611063","  5.491505"," 23.479662"," 22.078317","186.699525","  6.999370"
"A_d3_T5_4"," 26.297017"," 61.739573"," 17.820363","  9.754118"," 20.404279"," 22.243054","179.057443","  6.408991"
"A_d3_T5_5"," 20.739561"," 59.477137"," 35.968438"," 26.229658"," 22.859685"," 28.884133","190.309906","  6.222327"
"AxC_d3_T15_1"," 49.80679","195.63957"," 40.20287"," 27.79686","120.28523","  0.00000","400.71082"," 13.37155"
"AxC_d3_T15_2"," 94.798022","182.707388"," 54.070538","  6.218998","113.579789","  0.000000","387.498839"," 15.629893"
"AxC_d3_T15_3"," 18.38481","195.00389"," 26.40160"," 31.90602"," 74.87366","  0.00000","427.91336"," 15.79208"
"AxC_d3_T15_4"," 19.60866","172.95809"," 57.48640"," 19.22020"," 60.53755","  0.00000","356.48494"," 14.92112"
"AxC_d3_T15_5"," 26.18880","216.94519"," 28.88580"," 20.49101"," 71.09594","  0.00000","388.82247"," 16.83407"
"AxC_d3_T1_1","171.85186","133.04937"," 93.15877"," 61.73745"," 95.29397","106.40317","314.38500"," 20.39993"
"AxC_d3_T1_2","168.32182","132.29039"," 59.59521"," 63.76308"," 64.17918"," 93.95693","281.02952"," 20.92716"
"AxC_d3_T1_3","191.15019","146.81326"," 74.02000"," 47.79323"," 92.01083","101.03556","323.84427"," 15.54713"
"AxC_d3_T1_4","218.53086","167.36110"," 64.81858"," 63.25033"," 89.14018","110.53581","314.69044"," 18.79407"
"AxC_d3_T1_5","145.966487","173.054599"," 96.943138"," 60.781548"," 55.621239","128.767604","307.030594","  7.565026"
"AxC_d3_T30_1"," 55.703771","207.754231","  5.148293","  4.714860","128.544013","  0.000000","253.684750"," 11.786960"
"AxC_d3_T30_2","114.171728","154.075097"," 40.127699","  3.792052","185.999885","  0.000000","266.108996"," 10.141702"
"AxC_d3_T30_3","140.353720","143.883996"," 21.875244","  0.000000","137.330168","  0.000000","302.668446","  9.947887"
"AxC_d3_T30_4"," 72.571849","153.615723","  0.000000","  0.000000"," 65.034267","  0.000000","230.747173","  9.068321"
"AxC_d3_T30_5"," 87.75026","176.46019"," 23.40158","  0.00000"," 93.13937","  0.00000","299.76610"," 13.43540"
"AxC_d3_T30_6","131.284295","173.603813"," 13.859727","  4.759925"," 81.842293","  0.000000","281.293392","  8.566063"
"AxC_d3_T5_1","155.32651","156.87400"," 52.78727"," 31.55580","106.78556","122.02540","334.47905"," 18.93866"
"AxC_d3_T5_2","130.45432","168.52331"," 52.48749"," 32.74811"," 67.70402","107.45209","333.58450"," 16.48975"
"AxC_d3_T5_3","227.24050","184.21970"," 68.30372"," 54.69298","178.23904","144.50832","353.79150"," 19.97253"
"AxC_d3_T5_4","253.66057","173.64216"," 62.03070"," 63.27333","147.27992","134.47900","313.18277"," 15.90110"
"AxC_d3_T5_5","293.72644","196.16572"," 52.05138"," 34.75575","134.25028","138.74604","296.49673"," 22.19157"
"C_d3_T15_1"," 26.342957","129.160425"," 12.946968","  1.717598"," 73.832257","  0.000000","348.085204"," 13.645745"
"C_d3_T15_2"," 29.49151","174.28841"," 22.16739","  0.00000","122.03963","  0.00000","289.41921"," 10.96991"
"C_d3_T15_3"," 52.21093","193.82471"," 33.34575","  0.00000"," 97.94913","  0.00000","399.36450"," 14.13156"
"C_d3_T15_4"," 48.13841","197.79173"," 21.72500","  0.00000"," 74.94096","  0.00000","371.75480"," 15.04781"
"C_d3_T15_5"," 26.92902","139.88129"," 27.77882","  0.00000"," 84.94776","  0.00000","260.11587"," 11.85245"
"C_d3_T1_1","225.70529","196.17491"," 84.81138"," 58.79577"," 90.68915","113.33053","321.14609"," 18.32667"
"C_d3_T1_2","255.02223","246.35652"," 87.88966"," 55.39948","106.58940","135.83483","409.23447"," 19.63145"
"C_d3_T1_3","373.80203","251.14442","122.99379","118.18494","304.50562","193.12581","481.76045"," 31.88306"
"C_d3_T1_4","192.74984","176.87525"," 73.53332"," 50.67045","111.60634","110.31446","319.91119"," 21.47756"
"C_d3_T1_5","294.39721","218.78563","108.69601"," 98.06058","292.74652","185.47830","480.33554"," 24.23334"
"C_d3_T1_6","325.52622","236.52163","118.88744"," 75.67596","309.72249","161.15729","463.87109"," 24.19521"
"C_d3_T30_1"," 56.253420","235.148319","  6.588004","  0.000000","138.285289","  0.000000","374.612200"," 19.409945"
"C_d3_T30_2","100.60454","190.00634","  0.00000","  0.00000"," 83.29609","  0.00000","346.23374"," 13.02833"
"C_d3_T30_3"," 29.15578","228.57529","  0.00000","  0.00000"," 85.25899","  0.00000","390.86794"," 12.48186"
"C_d3_T30_4","157.14799","204.42753","  0.00000","  0.00000","167.63889","  0.00000","437.64289"," 15.63119"
"C_d3_T30_5","139.3007141","234.3817445"," 15.3016871","  0.1367454","198.1518402","  0.0000000","488.2948622"," 14.8498155"
"C_d3_T5_1","370.48770","221.50749","123.14854"," 51.37528","300.07603","180.67208","428.45086"," 22.05380"
"C_d3_T5_2","223.85838","234.51393"," 69.76901"," 33.97277","144.97776","205.23654","516.44592"," 23.19953"
"C_d3_T5_3","346.75595","243.31851","119.84222"," 91.94220","314.57872","152.20062","518.89230"," 19.64882"
"C_d3_T5_4","150.00986","228.37488"," 57.22225"," 52.08932","125.93621","155.46669","442.17152"," 23.39113"
"C_d3_T5_5","178.41839","208.49716"," 53.18880"," 40.13067","141.45350","146.05080","406.69037"," 20.08030"
